algorithm,validation_method,remove_outliers,scale_data,use_pca,params,time,conf_matrix,accuracy,precision,recall,f1
decision_tree_classifier,cross_validation,False,False,False,"{'max_depth': 10, 'min_samples_split': 10}",0.050995588302612305,"[[260.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0], [19.0, 242.0, 0.0, 0.0, 0.0, 26.0, 0.0], [0.0, 0.0, 324.0, 8.0, 0.0, 2.0, 17.0], [0.0, 0.0, 11.0, 283.0, 2.0, 0.0, 1.0], [0.0, 0.0, 0.0, 1.0, 323.0, 0.0, 0.0], [0.0, 21.0, 1.0, 0.0, 0.0, 254.0, 14.0], [0.0, 0.0, 16.0, 0.0, 0.0, 15.0, 259.0]]",0.9213617774473039,0.9201184213852239,0.9202153242770233,0.9197550037356256
decision_tree_classifier,cross_validation,False,False,False,"{'max_depth': 10, 'min_samples_split': 20}",0.05099940299987793,"[[251.0, 21.0, 0.0, 0.0, 0.0, 0.0, 0.0], [16.0, 238.0, 0.0, 0.0, 0.0, 33.0, 0.0], [0.0, 0.0, 328.0, 8.0, 0.0, 0.0, 15.0], [0.0, 0.0, 12.0, 283.0, 1.0, 0.0, 1.0], [0.0, 0.0, 0.0, 1.0, 323.0, 0.0, 0.0], [0.0, 25.0, 1.0, 0.0, 0.0, 243.0, 21.0], [0.0, 0.0, 17.0, 0.0, 0.0, 21.0, 252.0]]",0.9085675837320575,0.9063570198978109,0.9075996024439049,0.9062165544706146
decision_tree_classifier,cross_validation,False,False,False,"{'max_depth': 50, 'min_samples_split': 2}",0.05153012275695801,"[[260.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0], [14.0, 250.0, 0.0, 0.0, 0.0, 22.0, 1.0], [0.0, 0.0, 322.0, 11.0, 1.0, 0.0, 17.0], [0.0, 0.0, 9.0, 283.0, 4.0, 0.0, 1.0], [0.0, 0.0, 1.0, 0.0, 323.0, 0.0, 0.0], [0.0, 18.0, 1.0, 0.0, 0.0, 252.0, 19.0], [0.0, 0.0, 9.0, 0.0, 0.0, 13.0, 268.0]]",0.927519101038838,0.9269579617590561,0.9265400842379167,0.9262044815250491
decision_tree_classifier,cross_validation,False,False,False,"{'max_depth': 50, 'min_samples_split': 10}",0.051996707916259766,"[[260.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0], [18.0, 244.0, 0.0, 0.0, 0.0, 25.0, 0.0], [0.0, 0.0, 324.0, 9.0, 1.0, 0.0, 17.0], [0.0, 0.0, 10.0, 283.0, 3.0, 0.0, 1.0], [0.0, 0.0, 1.0, 0.0, 323.0, 0.0, 0.0], [0.0, 21.0, 1.0, 0.0, 0.0, 254.0, 14.0], [0.0, 0.0, 16.0, 0.0, 0.0, 15.0, 259.0]]",0.9223080736238631,0.9210413141985985,0.9212983412868329,0.9207685142571731
decision_tree_classifier,cross_validation,False,False,False,"{'max_depth': 50, 'min_samples_split': 20}",0.052004337310791016,"[[252.0, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0], [17.0, 237.0, 0.0, 0.0, 0.0, 33.0, 0.0], [0.0, 0.0, 327.0, 9.0, 0.0, 0.0, 15.0], [0.0, 0.0, 12.0, 283.0, 1.0, 0.0, 1.0], [0.0, 0.0, 0.0, 1.0, 323.0, 0.0, 0.0], [0.0, 23.0, 1.0, 0.0, 0.0, 245.0, 21.0], [0.0, 0.0, 17.0, 0.0, 0.0, 21.0, 252.0]]",0.9090403950601319,0.9069369716945103,0.9080704889504281,0.9066376165193853
decision_tree_classifier,cross_validation,False,False,False,"{'max_depth': 100, 'min_samples_split': 2}",0.05099678039550781,"[[255.0, 17.0, 0.0, 0.0, 0.0, 0.0, 0.0], [14.0, 252.0, 0.0, 0.0, 0.0, 20.0, 1.0], [0.0, 0.0, 323.0, 8.0, 2.0, 2.0, 16.0], [0.0, 0.0, 10.0, 284.0, 3.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 323.0, 0.0, 0.0], [0.0, 18.0, 1.0, 0.0, 0.0, 253.0, 18.0], [0.0, 0.0, 10.0, 0.0, 0.0, 11.0, 269.0]]",0.9279946064485539,0.927026141618469,0.92712603467983,0.9264759091212079
decision_tree_classifier,cross_validation,False,False,False,"{'max_depth': 100, 'min_samples_split': 10}",0.05000162124633789,"[[260.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0], [19.0, 244.0, 0.0, 0.0, 0.0, 23.0, 1.0], [0.0, 0.0, 324.0, 8.0, 0.0, 2.0, 17.0], [0.0, 0.0, 10.0, 284.0, 2.0, 0.0, 1.0], [0.0, 0.0, 1.0, 0.0, 323.0, 0.0, 0.0], [0.0, 22.0, 1.0, 0.0, 0.0, 252.0, 15.0], [0.0, 0.0, 16.0, 0.0, 0.0, 14.0, 260.0]]",0.9223100941850942,0.9211319363929918,0.9211111346657823,0.9207574085400125
decision_tree_classifier,cross_validation,False,False,False,"{'max_depth': 100, 'min_samples_split': 20}",0.05099964141845703,"[[251.0, 21.0, 0.0, 0.0, 0.0, 0.0, 0.0], [16.0, 237.0, 0.0, 0.0, 0.0, 34.0, 0.0], [0.0, 0.0, 326.0, 8.0, 0.0, 2.0, 15.0], [0.0, 0.0, 12.0, 283.0, 1.0, 0.0, 1.0], [0.0, 0.0, 0.0, 1.0, 323.0, 0.0, 0.0], [0.0, 24.0, 1.0, 0.0, 0.0, 242.0, 23.0], [0.0, 0.0, 17.0, 0.0, 0.0, 22.0, 251.0]]",0.9062001594896332,0.9039154134787521,0.9053253559785027,0.9037654095786012
decision_tree_classifier,holdout,False,False,False,default,0.01900005340576172,"[[74, 8, 0, 0, 0, 0, 0], [6, 72, 0, 0, 0, 8, 0], [0, 0, 100, 2, 0, 0, 4], [0, 0, 4, 83, 1, 0, 1], [0, 0, 0, 0, 97, 0, 0], [0, 11, 0, 0, 0, 60, 16], [0, 0, 4, 0, 0, 10, 73]]",0.8817034700315457,0.877766350711107,0.8791753910927111,0.8777880504434611
svm_classifier,cross_validation,True,True,True,"{'C': 0.01, 'kernel': 'linear'}",0.135786771774292,"[[84.0, 77.0, 91.0, 1.0, 0.0, 15.0, 4.0], [65.0, 85.0, 39.0, 6.0, 4.0, 50.0, 38.0], [7.0, 2.0, 192.0, 87.0, 15.0, 25.0, 23.0], [0.0, 1.0, 15.0, 274.0, 1.0, 3.0, 3.0], [0.0, 0.0, 0.0, 1.0, 322.0, 0.0, 1.0], [17.0, 71.0, 71.0, 29.0, 3.0, 88.0, 11.0], [4.0, 14.0, 66.0, 95.0, 1.0, 31.0, 79.0]]",0.5324441516875728,0.5207318269705605,0.5244077904832869,0.5015886249072556
