algorithm,validation_method,remove_outliers,scale_data,use_pca,best_params,accuracy,precision,recall,f1
svm_classifier,holdout,False,True,True,default,0.16,0.1456666666666667,0.3318558897243108,0.1594464460270912
svm_classifier,holdout,True,False,True,default,0.2533333333333333,0.2239999999999999,0.2481150973209796,0.1876694683399488
svm_classifier,holdout,False,False,True,default,0.2488888888888888,0.2199999999999999,0.2433244631185807,0.1842749089351593
svm_classifier,holdout,True,True,False,default,0.1733333333333333,0.146,0.274679858915153,0.1340873020593475
svm_classifier,holdout,False,True,False,default,0.1733333333333333,0.146,0.274679858915153,0.1340873020593475
svm_classifier,holdout,True,False,False,default,0.0622222222222222,0.0473333333333333,0.0079244663382594,0.01209867009867
svm_classifier,holdout,False,False,False,default,0.0622222222222222,0.0473333333333333,0.0079244663382594,0.01209867009867
knn_classifier,holdout,True,True,True,default,0.0622222222222222,0.0546666666666666,0.038075707347159,0.0287276491624317
knn_classifier,holdout,False,True,True,default,0.0622222222222222,0.0546666666666666,0.038075707347159,0.0287276491624317
knn_classifier,holdout,True,False,True,default,0.1955555555555555,0.1886666666666666,0.2291242461242461,0.1695537737116684
knn_classifier,holdout,False,False,True,default,0.1955555555555555,0.1876666666666666,0.2217442002442002,0.1666411046259243
knn_classifier,holdout,True,True,False,default,0.0266666666666666,0.02,0.0005333333333333,0.001038961038961
knn_classifier,holdout,False,True,False,default,0.0266666666666666,0.02,0.0005333333333333,0.001038961038961
knn_classifier,holdout,True,False,False,default,0.2,0.1916666666666666,0.2334206349206349,0.1749811234517116
knn_classifier,holdout,False,False,False,default,0.2,0.1916666666666666,0.2334206349206349,0.1749811234517116
xgboost_classifier,holdout,True,True,True,default,0.3422222222222222,0.3216666666666666,0.3821998556998557,0.3079446752078331
xgboost_classifier,cross_validation,True,True,True,"{'booster': 'gbtree', 'device': 'cuda', 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 150, 'n_jobs': -1, 'tree_method': 'hist'}",0.272,0.2639444444444445,0.41601659451659456,0.25951463351463355
xgboost_classifier,holdout,False,True,True,default,0.3422222222222222,0.32166666666666666,0.44219985569985576,0.3079446752078331
xgboost_classifier,cross_validation,False,True,True,"{'booster': 'gbtree', 'device': 'cuda', 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 150, 'n_jobs': -1, 'tree_method': 'hist'}",0.272,0.2639444444444445,0.41601659451659456,0.25951463351463355
xgboost_classifier,holdout,True,False,True,default,0.2311111111111111,0.21066666666666667,0.25457142857142856,0.18221656121656124
xgboost_classifier,cross_validation,True,False,True,"{'booster': 'gbtree', 'device': 'cuda', 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 150, 'n_jobs': -1, 'tree_method': 'hist'}",0.288,0.2929047619047619,0.2977561327561328,0.2679902874902875
xgboost_classifier,holdout,False,False,True,default,0.26222222222222225,0.239,0.24345021645021642,0.22513271042682806
xgboost_classifier,cross_validation,False,False,True,"{'booster': 'gbtree', 'device': 'cuda', 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 150, 'n_jobs': -1, 'tree_method': 'hist'}",0.3,0.2965634920634921,0.33457692307692305,0.2554885376061847
xgboost_classifier,holdout,True,True,False,default,0.5466666666666666,0.5416666666666667,0.5581349206349207,0.5153828393828394
xgboost_classifier,cross_validation,True,True,False,"{'booster': 'gbtree', 'device': 'cuda', 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 150, 'n_jobs': -1, 'tree_method': 'hist'}",0.544,0.5383333333333334,0.5679761904761904,0.5126495595907361
xgboost_classifier,holdout,False,True,False,default,0.5466666666666666,0.5416666666666667,0.5581349206349207,0.5153828393828394
